編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLTKMHLGFDJ09DA,30,102.43,住宅,鋼筋混凝土造,85年4月26日,二層,一層 二層 陽台,全筆移轉
RPPNMLOLMHLGFBJ58EA,38,399.96,商業用,鋼造,77年8月20日,一層,一層,全筆移轉
RPROMLNLMHLGFBJ68DA,,84.53,集合住宅,鋼筋混凝土造,114年12月4日,十三層,十三層 陽台 見其他登記事項,全筆移轉
RPROMLNLMHLGFBJ68DA,,76.22,本共有部分之項目有防空避難室兼停車空間、停車空間等二項。,鋼筋混凝土造,114年12月4日,十三層,,持分移轉
RPROMLNLMHLGFBJ68DA,,18.89,本共有部分之項目有電梯機房、水箱等二項。,鋼筋混凝土造,114年12月4日,十三層,,持分移轉
RPQNMLKLMHLGFCJ38EA,,115.20,住家用,鋼筋混凝土造,,二層,一層 二層,全筆移轉
RPQOMLPKMHLGFBJ68DA,2,39.71,本共有部分之項目有防空避難室兼停車空間、雨水機房、水箱、消防機房、排煙室、梯間、緊急升降機間、揚水機房、公共水箱、停車空間、中繼機房、泳池水箱、台電配電室（１）（２）、電表室及受電箱室、水景機械室、發電機室、防災中心、電信室、門廳、梯廳、穿廊、公共服務空間、資源回收室、游泳池、中繼水箱等二十五項。,鋼筋混凝土造,112年10月30日,二十四層,,持分移轉
RPOOMLNKMHLGFBJ28DA,34,18.56,住家用,鋼筋混凝土造,81年5月13日,六層,五層 陽台,全筆移轉
RPOOMLNKMHLGFBJ28DA,34,1.76,共有部分,鋼筋混凝土造,81年5月13日,六層,,持分移轉
RPOOMLNKMHLGFBJ28DA,34,4.56,共有部分,鋼筋混凝土造,81年5月31日,六層,,持分移轉
RPQNMLLLMHLGFBJ28DA,,40.35,住家用,磚造,,一層,一層,全筆移轉
RPXNMLTJMHLGFBJ96DA,1,146.23,集合住宅,鋼筋混凝土造,114年1月2日,十四層,十二層 陽台 見其他登記事項,全筆移轉
RPXNMLTJMHLGFBJ96DA,1,150.12,本共有部分之項目有防空避難室兼停車空間、停車空間、管委會使用空間等三項。,鋼筋混凝土造,114年1月2日,十四層,,持分移轉
RPXNMLTJMHLGFBJ96DA,1,25.49,本共有部分之項目有樓梯間、昇降機機房、水箱等三項。,鋼筋混凝土造,114年1月2日,十四層,,持分移轉
RPOOMLRKMHLGFBJ68DA,18,107.01,住家用,鋼筋混凝土造,97年8月25日,十四層,十層 陽台 雨遮,全筆移轉
RPOOMLRKMHLGFBJ68DA,18,.06,管理員室,鋼筋混凝土造,97年8月25日,十四層,地下一層,持分移轉
RPOOMLRKMHLGFBJ68DA,18,23.08,共有部分,鋼筋混凝土造,97年8月25日,十四層,,持分移轉
RPOOMLRKMHLGFBJ68DA,18,20.02,共有部分,鋼筋混凝土造,97年8月25日,十四層,,持分移轉
RPOOMLRKMHLGFBJ68DA,18,62.78,共有部分,鋼筋混凝土造,97年8月25日,十四層,,持分移轉
RPVNMLRKMHLGFDJ86DA,21,201.65,住家用,鋼筋混凝土造,93年11月15日,四層,一層 二層 三層 四層 陽台 雨遮,全筆移轉
RPSNMLKMLHLGFBJ38DA,30,53.55,住家用,鋼筋混凝土造,85年7月3日,十三層,八層 陽台,全筆移轉
RPSNMLKMLHLGFBJ38DA,30,5.00,共有部分,鋼筋混凝土造,85年7月3日,十三層,,持分移轉
RPSNMLKMLHLGFBJ38DA,30,12.54,共有部分,鋼筋混凝土造,85年7月3日,十三層,,持分移轉
RPQNMLNKLHLGFCJ48EA,32,26.93,住家用,鋼筋混凝土造,82年12月14日,十一層,六層 陽台,全筆移轉
RPQNMLNKLHLGFCJ48EA,34,1.31,商業用,鋼筋混凝土造,81年5月29日,十一層,地下層,持分移轉
RPQNMLNKLHLGFCJ48EA,34,3.88,貯藏室,鋼筋混凝土造,81年5月29日,十一層,地下層,持分移轉
RPQNMLNKLHLGFCJ48EA,32,6.40,共用部分,鋼筋混凝土造,82年12月14日,十一層,,持分移轉
RPWNMLKKLHLGFBJ58DA,17,.06,商業用,鋼筋混凝土造,97年9月15日,十六層,一層,持分移轉
RPWNMLKKLHLGFBJ58DA,17,34.84,商業用,鋼筋混凝土造,97年9月15日,十六層,十五層 陽台 雨遮,全筆移轉
RPOOMLPKMHLGFBJ48DA,15,.17,管理員室,鋼筋混凝土造,100年5月31日,十四層,一層,持分移轉
RPWNMLKKLHLGFBJ58DA,17,33.25,共有部分,鋼筋混凝土造,97年9月15日,十六層,,持分移轉
RPOOMLPKMHLGFBJ48DA,15,166.68,住家用,鋼筋混凝土造,100年5月31日,十四層,十二層 陽台 雨遮,全筆移轉
RPWNMLKKLHLGFBJ58DA,17,4.99,共有部分,鋼筋混凝土造,97年9月15日,十六層,,持分移轉
RPOOMLPKMHLGFBJ48DA,15,26.31,本共有部分之項目有梯間、水箱、機械室等三項,鋼筋混凝土造,100年5月31日,十四層,,持分移轉
RPWNMLKKLHLGFBJ58DA,17,.00,共有部分,鋼筋混凝土造,97年9月15日,十六層,,持分移轉
RPOOMLPKMHLGFBJ48DA,15,48.18,本共有部分之項目有停車空間、防空避難室、公共服務空間、廣場式頂蓋型開放空間、垃圾室、車道等六項,鋼筋混凝土造,100年5月31日,十四層,,持分移轉
RPWNMLKKLHLGFBJ58DA,17,2.14,共有部分,鋼筋混凝土造,97年9月15日,十六層,,持分移轉
RPOOMLPKMHLGFBJ48DA,15,40.71,本共有部分之項目有停車空間、防空避難室、公共服務空間、廣場式頂蓋型開放空間、垃圾室、車道等六項,鋼筋混凝土造,100年5月31日,十四層,,持分移轉
RPWNMLKKLHLGFBJ58DA,17,11.09,共有部分,鋼筋混凝土造,97年9月15日,十六層,,持分移轉
RPTSMLKLMHLGFBJ98DA,12,68.66,住家用,鋼筋混凝土造,103年2月28日,十二層,六層 陽台,全筆移轉
RPTSMLKLMHLGFBJ98DA,12,14.80,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,103年2月28日,十二層,,持分移轉
RPTSMLKLMHLGFBJ98DA,12,53.44,本共有部分之項目有防空避難室兼停車空間、公共服務空間、警衛室、垃圾儲藏室等四項。,鋼筋混凝土造,103年2月28日,十二層,,持分移轉
RPWNMLRKMHLGFBJ76DA,6,57.01,住家用,鋼筋混凝土造,108年10月14日,二十三層,二十二層 陽台,全筆移轉
RPWNMLRKMHLGFBJ76DA,6,33.44,本共有部分之項目有防空避難室兼停車空間、大廳、公共服務空間、中繼機房、樓梯間、電梯間、機電設備空間、水箱等八項。,鋼筋混凝土造,108年10月14日,二十三層,,持分移轉
RPWNMLRKMHLGFBJ76DA,6,35.92,本共有部分之項目有停車空間、防空避難室兼停車空間等二項。,鋼筋混凝土造,108年10月14日,二十三層,,持分移轉
RPWNMLRKMHLGFBJ76DA,6,3.31,本共有部分之項目有停車空間等一項。,鋼筋混凝土造,108年10月14日,二十三層,,持分移轉
RPXNMLRKMHLGFBJ86DA,2,78.33,集合住宅,鋼筋混凝土造,113年9月11日,十五層,四層 陽台,全筆移轉
RPXNMLRKMHLGFBJ86DA,2,45.23,本共有部分之項目有防空避難室兼停車空間、停車空間、公共服務空間、梯間等四項。,鋼筋混凝土造,113年9月11日,十五層,,持分移轉
RPXNMLRKMHLGFBJ86DA,2,15.29,本共有部分之項目有梯間、機械室、水箱等三項。,鋼筋混凝土造,113年9月11日,十五層,,持分移轉
RPTNMLRKMHLGFCJ56DA,1,89.17,集合住宅,鋼筋混凝土造,114年6月26日,五層,二層 陽台,全筆移轉
RPTNMLRKMHLGFCJ56DA,1,27.37,共有部份係依使用執照之建築概要表記載項目有：停車空間、樓梯間、電梯機房、水箱等四項,鋼筋混凝土造,114年6月26日,五層,,持分移轉
RPPNMLNKMHLGFBJ28DA,12,105.29,住商用,鋼筋混凝土造,102年11月7日,二十二層,一層 二層 陽台,全筆移轉
RPPNMLNKMHLGFBJ28DA,12,.07,住家用,鋼筋混凝土造,102年11月7日,二十二層,一層,持分移轉
RPPNMLNKMHLGFBJ28DA,12,24.61,本共有部分之項目有防空避難室兼停車空間，清水池，機房，電信室，台電配電室，開放空間，門廳，梯間，機械室，中繼機房，水塔室，水箱等十二項。,鋼筋混凝土造,102年11月6日,二十二層,,持分移轉
RPPNMLNKMHLGFBJ28DA,12,66.37,本共有部分之項目有防空避難室兼停車空間，清水池，機房，電信室，台電配電室，開放空間，門廳，梯間，機械室，中繼機房，水塔室，水箱等十二項。,鋼筋混凝土造,102年11月6日,二十二層,,持分移轉
RPXWMLKLMHLGFBJ17DA,10,90.51,住家用,鋼筋混凝土造,105年7月29日,十四層,九層 陽台 雨遮,全筆移轉
RPXWMLKLMHLGFBJ17DA,10,98.73,本共有部分之項目有停車空間兼防空避難室、開放空間、公共服務空間、管理室、樓梯間、水箱、機房等七項。,鋼筋混凝土造,105年7月29日,十四層,,持分移轉
RPQNMLTKLHLGFBJ88DA,14,102.36,住家用,鋼筋混凝土造,101年4月19日,七層,三層 陽台 雨遮,全筆移轉
RPQNMLTKLHLGFBJ88DA,14,61.98,本共有部分之項目有：防空避難室、停車空間、樓梯間、機械房、水箱、管理員室等六項,鋼筋混凝土造,101年4月19日,七層,,持分移轉
RPSNNLKLMHLGFBJ48DA,1,79.92,集合住宅,鋼筋混凝土造,114年8月7日,五層,五層 陽台 見其他登記事項,全筆移轉
RPSNNLKLMHLGFBJ48DA,1,28.59,本共有部分之項目有停車空間、樓梯間等二項。,鋼筋混凝土造,114年8月7日,五層,,持分移轉
RPUNMLLMLHLGFBJ68DA,29,134.56,住家用,鋼筋混凝土造,85年12月9日,九層,八層 九層 陽台,全筆移轉
RPUNMLLMLHLGFBJ68DA,29,29.72,共有部分,鋼筋混凝土造,85年12月9日,九層,,持分移轉
RPUNMLLMLHLGFBJ68DA,29,17.25,共有部分,鋼筋混凝土造,85年12月9日,九層,,持分移轉
RPPOMLRKMHLGFDJ98DA,30,109.27,住家用,鋼筋混凝土造,84年9月20日,五層,一層 平台,全筆移轉
RPPOMLRKMHLGFDJ98DA,30,14.56,共用部分,鋼筋混凝土造,84年9月20日,五層,,持分移轉
RPQNMLKKLHLGFBJ97DA,19,193.01,住家用,鋼筋混凝土造,96年1月26日,五層,一層 二層 三層 四層 五層 陽台 雨遮,全筆移轉
RPSNMLLMLHLGFCJ58DA,52,94.24,住家用,加強磚造,62年10月28日,二層,一層 二層 陽台,全筆移轉
RPQNMLKLMHLGFBJ28EA,10,.48,辦公室,鋼筋混凝土造,105年2月3日,十九層,一層,持分移轉
RPQNMLKLMHLGFBJ28EA,10,239.72,住家用,鋼筋混凝土造,105年2月3日,十九層,七層 陽台 雨遮,全筆移轉
RPQNMLKLMHLGFBJ28EA,10,82.80,本共有部分之項目有防空避難室兼停車空間、消防機房、污水、雨水機房、水箱、排煙室、梯間、停車空間、發電機室、電信機房、中繼水箱、梯廳、台電配電室、防災中心、頂型開放空間、公共服務空間、垃圾室、設備室、工具室等十九項。,鋼筋混凝土造,105年2月3日,十九層,,持分移轉
RPQNMLKLMHLGFBJ28EA,10,57.03,本共有部分之項目有防空避難室兼停車空間、消防機房、污水、雨水機房、水箱、排煙室、梯間、停車空間、發電機室、電信機房、中繼水箱、梯廳、台電配電室、防災中心、頂型開放空間、公共服務空間、垃圾室、設備室、工具室等十九項。,鋼筋混凝土造,105年2月3日,十九層,,持分移轉
RPQNMLKLMHLGFBJ28EA,10,46.07,本共有部分之項目有排煙室、梯間、梯廳、機械室、中繼機房、中繼水箱等六項。,鋼筋混凝土造,105年2月3日,十九層,,持分移轉
RPUNMLLLMHLGFDJ88DA,17,90.55,集合住宅,鋼筋混凝土造,97年12月26日,七層,六層 陽台 雨遮,全筆移轉
RPUNMLLLMHLGFDJ88DA,17,15.79,樓梯間．水箱．機房,鋼筋混凝土造,97年12月26日,七層,,持分移轉
RPQNMLOJLHLGFBJ28DA,4,141.81,店舖,鋼筋混凝土造,110年12月26日,十四層,一層 陽台 見其他登記事項,全筆移轉
RPUNMLLLMHLGFDJ88DA,17,15.92,停車空間,鋼筋混凝土造,97年12月26日,七層,,持分移轉
RPQNMLOJLHLGFBJ28DA,4,83.32,本共有部分之項目有防空避難室兼停車空間、停車空間、台電配電室、管理員室、車道、公共服務空間、集中式垃圾貯存空間、樓梯間、電梯間、機械室、水箱等十一項。,鋼筋混凝土造,110年12月26日,十四層,,持分移轉
RPQONLKLMHLGFBJ38DA,15,.06,警衛室,鋼筋混凝土造,99年11月20日,十五層,一層,持分移轉
RPQONLKLMHLGFBJ38DA,15,86.00,住家用,鋼筋混凝土造,99年11月20日,十五層,六層 陽台 雨遮,全筆移轉
RPQONLKLMHLGFBJ38DA,15,45.48,本共有部分之項目有停車空間、防空避難室、梯間、頂蓋式開放空間等四項。,鋼筋混凝土造,99年11月20日,十五層,,持分移轉
RPQONLKLMHLGFBJ38DA,15,20.03,本共有部分之項目有停車空間、防空避難室、梯間、頂蓋式開放空間等四項。,鋼筋混凝土造,99年11月20日,十五層,,持分移轉
RPWNMLLJMHLGFDJ88DA,31,223.53,住家用,鋼筋混凝土造,84年3月2日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPQONLKLMHLGFBJ38DA,15,17.12,本共有部分之項目有梯間等一項。,鋼筋混凝土造,99年11月20日,十五層,,持分移轉
RPTNMLQKLHLGFBJ88DA,11,.43,商業用,鋼筋混凝土造,103年10月9日,十九層,一層,持分移轉
RPTNMLQKLHLGFBJ88DA,11,.41,商業用,鋼筋混凝土造,103年10月9日,十九層,一層,持分移轉
RPTNMLQKLHLGFBJ88DA,11,85.74,住家用,鋼筋混凝土造,103年10月9日,十八層,八層 陽台 雨遮,全筆移轉
RPTNMLQKLHLGFBJ88DA,11,.00,本共有部分之項目有防空避難室兼停車空間、店舖、廣場式頂蓋型開放空間、梯間、水箱、機械室等六項,鋼筋混凝土造,103年10月9日,十九層,,持分移轉
RPTNMLQKLHLGFBJ88DA,11,.00,本共有部分之項目有防空避難室兼停車空間、店舖、廣場式頂蓋型開放空間、梯間、水箱、機械室等六項,鋼筋混凝土造,103年10月9日,十九層,,持分移轉
RPTNMLQKLHLGFBJ88DA,11,71.73,本共有部分之項目有防空避難室兼停車空間、店舖、廣場式頂蓋型開放空間、梯間、水箱、機械室等六項,鋼筋混凝土造,103年10月9日,十九層,,持分移轉
RPPNMLLLMHLGFDJ38DA,,178.35,住家用,加強磚造,,三層,一層 二層 三層 騎樓,全筆移轉
RPRNMLMLMHLGFDJ68DA,,68.51,住家用,鋼筋混凝土造,,五層,三層 陽台,全筆移轉
RPRNMLMLMHLGFDJ68DA,,5.78,共有部分,鋼筋混凝土造,,五層,,持分移轉
RPRNMLMLMHLGFDJ68DA,,17.71,共有部分,鋼筋混凝土造,,五層,,持分移轉
RPPNMLKLMHLGFBJ18EA,22,248.90,住商用,鋼筋混凝土造,92年12月10日,五層,一層 二層 三層 四層 五層 陽台 屋頂突出物,持分移轉
RPUNMLTJLHLGFBJ56DA,30,15.89,共有部分,鋼筋混凝土造,84年10月28日,十二層,,持分移轉
RPUNMLTJLHLGFBJ56DA,30,14.34,共有部分,鋼筋混凝土造,84年10月28日,十二層,,持分移轉
RPVNMLMLMHLGFBJ88DA,7,89.59,住家用,鋼筋混凝土造,107年9月20日,二十二層,十五層 陽台,全筆移轉
RPUNMLTJLHLGFBJ56DA,30,107.65,住家用,鋼筋混凝土造,84年10月28日,十二層,十一層 陽台 花台,全筆移轉
RPVNMLMLMHLGFBJ88DA,7,71.24,本共有部分之項目有防空避難室兼停車空間、消防泵浦室、汙水機房、雨水機房、梯間、台電配電場所、發電機房、防災中心、垃圾冷藏室、管委會使用空間、機械室、水箱、停車空間、蓄水池等１４項。,鋼筋混凝土造,107年9月20日,二十二層,,持分移轉
RPQNNLKLMHLGFBJ28DA,15,110.81,住家用,鋼筋混凝土造,100年5月10日,十九層,十七層 陽台 雨遮,全筆移轉
RPQNNLKLMHLGFBJ28DA,15,121.55,本共有部分之項目有防空避難室、停車空間、水箱、機房、梯間、門廳、頂蓋型開放空間、車道等八項。,鋼筋混凝土造,100年5月10日,十九層,,持分移轉
RPPNMLQKLHLGFDJ68DA,1,76.97,集合住宅,鋼筋混凝土造,113年11月15日,十四層,八層 陽台,全筆移轉
RPPNMLQKLHLGFDJ68DA,1,61.04,本共有部分之項目有停車空間、集合住宅（附屬管委會使用空間門廳）、集合住宅（附屬梯間）、梯間、機械室、水箱等６項,鋼筋混凝土造,113年11月15日,十四層,,持分移轉
RPXNMLPKMHLGFBJ66DA,3,869.81,工廠,鋼筋混凝土造,112年7月13日,十六層,十一層,全筆移轉
RPXNMLPKMHLGFBJ66DA,3,62.31,本共有部分之項目有機房等一項。,鋼筋混凝土造,112年7月13日,十六層,,持分移轉
RPUOMLQLLHLGFDJ76DA,,69.94,住家用,鋼筋混凝土造,,五層,四層 陽台,全筆移轉
RPXNMLPKMHLGFBJ66DA,3,393.94,本共有部分之項目有防空避難室兼停車空間、卸貨空間、樓梯間、機房、水箱等五項。,鋼筋混凝土造,112年7月13日,十六層,,持分移轉
RPUOMLQLLHLGFDJ76DA,31,5.78,共有部分,鋼筋混凝土造,84年7月13日,五層,,持分移轉
RPXNMLPKMHLGFBJ66DA,3,116.28,本共有部分之項目有防空避難室兼停車空間、卸貨空間、員工餐廳等三項。,鋼筋混凝土造,112年7月13日,六層,,持分移轉
RPUOMLQLLHLGFDJ76DA,,17.71,共有部分,鋼筋混凝土造,,五層,,持分移轉
RPXNMLPKMHLGFBJ66DA,3,438.65,本共有部分之項目有防空避難室兼停車空間、停車空間等二項。,鋼筋混凝土造,112年7月13日,十八層,,持分移轉
RPPNMLNLMHLGFDJ58DA,,68.77,住家用,加強磚造,,一層,一層,全筆移轉
RPPNMLSKLHLGFBJ68DA,20,.06,管理中心,鋼筋混凝土造,95年5月19日,十五層,一層,持分移轉
RPPNMLSKLHLGFBJ68DA,20,75.28,住家用,鋼筋混凝土造,95年5月19日,十五層,九層 陽台 雨遮,全筆移轉
RPPNMLSKLHLGFBJ68DA,20,9.95,共有部分,鋼筋混凝土造,95年5月19日,十五層,,持分移轉
RPPNMLSKLHLGFBJ68DA,20,19.80,共有部分,鋼筋混凝土造,95年5月19日,十五層,,持分移轉
RPPNMLSKLHLGFBJ68DA,20,20.28,共有部分,鋼筋混凝土造,95年5月19日,十五層,,持分移轉
RPWNMLNLMHLGFDJ66DA,1,75.36,店舖,鋼筋混凝土造,114年1月24日,十三層,一層 陽台,全筆移轉
RPWNMLNLMHLGFDJ66DA,1,53.29,本共有部分之項目有防空避難室兼停車空間、蓄水池、消防泵浦室、污水∕雨水機房、儲藏室、梯間、停車空間、電信室、台電配電場所、發電機房、垃圾儲藏室、集合住宅（附屬管委會使用空間、梯間）、集合住宅（附屬梯間）、機械室、水箱等１５項,鋼筋混凝土造,114年1月24日,十三層,,持分移轉
RPTNMLQLLHLGFDJ56DA,,66.74,住家用,鋼筋混凝土造,,四層,四層,全筆移轉
RPTNMLOJLHLGFBJ58DA,33,105.07,住家用,鋼筋混凝土造,81年12月24日,七層,六層 陽台,全筆移轉
RPTNMLOJLHLGFBJ58DA,33,42.51,共有部分,鋼筋混凝土造,81年12月24日,七層,,持分移轉
RPPNMLOKMHLGFDJ58DA,45,73.00,住家用,加強磚造,70年4月21日,二層,一層 二層,全筆移轉
RPQNMLSKLHLGFDJ98DA,5,.13,共有部分,鋼筋混凝土造,109年11月24日,六層,,持分移轉
RPQNMLSKLHLGFDJ98DA,3,55.24,集合住宅,鋼筋混凝土造,111年11月18日,六層,六層 陽台,全筆移轉
RPQNMLSKLHLGFDJ98DA,3,6.29,本共有部分之項目有樓梯間、機械室等２項,鋼筋混凝土造,111年11月18日,六層,,持分移轉
RPQNMLSKLHLGFDJ98DA,3,63.17,本共有部分之項目有停車空間、梯間等２項,鋼筋混凝土造,111年11月18日,七層,,持分移轉
RPOQMLRLLHLGFDJ09DA,1,60.39,集合住宅,鋼筋混凝土造,113年11月15日,十四層,一層 陽台,全筆移轉
RPOQMLRLLHLGFDJ09DA,1,30.42,本共有部分之項目有停車空間、集合住宅（附屬管委會使用空間門廳）、集合住宅（附屬梯間）、梯間、機械室、水箱等６項,鋼筋混凝土造,113年11月15日,十四層,,持分移轉
RPVNMLNLMHLGFDJ56DA,1,76.29,集合住宅,鋼筋混凝土造,114年5月22日,十二層,三層 陽台,全筆移轉
RPPNMLRLMHLGFBJ88EA,18,.06,管理室,鋼筋混凝土造,97年5月15日,十二層,一層,持分移轉
RPVNMLNLMHLGFDJ56DA,1,62.09,本共有部分之項目有防空避難室兼停車空間、消防泵浦室、發電機室、汙水雨水機房、水箱、梯間、停車空間、電信室、台電配電場所、垃圾儲藏室、管委會使用空間、機械室等１２項,鋼筋混凝土造,114年5月22日,十三層,,持分移轉
RPPNMLRLMHLGFBJ88EA,18,71.39,住家用,鋼筋混凝土造,97年5月15日,十二層,五層 陽台 雨遮,全筆移轉
RPPNMLRLMHLGFBJ88EA,18,64.98,共有部分,鋼筋混凝土造,97年5月15日,十二層,,持分移轉
RPPNMLRLMHLGFBJ88EA,18,9.98,共有部分,鋼筋混凝土造,97年5月15日,十二層,,持分移轉
RPPNMLRLMHLGFBJ88EA,18,15.45,共有部分,鋼筋混凝土造,97年5月15日,十二層,,持分移轉
RPPQMLRLLHLGFDJ56DA,1,60.39,集合住宅,鋼筋混凝土造,113年11月15日,十四層,一層 陽台,全筆移轉
RPPQMLRLLHLGFDJ56DA,1,52.65,本共有部分之項目有停車空間、集合住宅（附屬管委會使用空間門廳）、集合住宅（附屬梯間）、梯間、機械室、水箱等６項,鋼筋混凝土造,113年11月15日,十四層,,持分移轉
RPVNMLRKMHLGFBJ66DA,12,102.57,住家用,鋼筋混凝土造,102年10月24日,十四層,八層 陽台,全筆移轉
RPVNMLRKMHLGFBJ66DA,12,81.01,本共有部分之項目有停車空間、防空避難室、管理員室、公共服務空間、機械室、水箱、電梯間等七項。,鋼筋混凝土造,102年10月24日,十四層,,持分移轉
RPXOMLMJMHLGFBJ98DA,,110.65,集合住宅,鋼筋混凝土造,114年12月29日,七層,五層 陽台,全筆移轉
RPXOMLMJMHLGFBJ98DA,,81.59,本共有部分之項目有停車空間、梯間、機械室、水箱、管委會使用空間等五項。,鋼筋混凝土造,114年12月29日,七層,,持分移轉
RPSNMLMLMHLGFCJ68DA,,54.47,集合住宅,鋼筋混凝土造,114年10月7日,十四層,十層 陽台,全筆移轉
RPSNMLMLMHLGFCJ68DA,,55.09,本共有部分項目有：集合住宅（附屬開放空間、公共服務空間、管委會使用空間、車道、梯間）、梯間、機械室、水箱、停車空間、發電機室、台電配電場所、垃圾貯存空間、電信室、蓄水池、汙雨水回收機房、消防泵埔室等１６項,鋼筋混凝土造,114年10月7日,十五層,,持分移轉
RPVNMLPLKHLGFBJ98DA,6,102.98,集合住宅,鋼筋混凝土造,109年7月2日,十五層,十層 陽台 雨遮,全筆移轉
