編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
RPSQMLRLJHLGFDJ66DA,,74.39,集合住宅,鋼筋混凝土造,114年12月23日,九層,三層 陽台,全筆移轉
RPSQMLRLJHLGFDJ66DA,,70.94,本共有部分之項目有停車空間、集合住宅、梯間等３項,鋼筋混凝土造,114年12月23日,九層,,持分移轉
RPUPMLKMLHLGFDJ98DA,,60.96,集合住宅,鋼筋混凝土造,114年12月15日,十一層,八層 陽台,全筆移轉
RPOOMLQLLHLGFDJ78DA,,73.74,集合住宅,鋼筋混凝土造,114年12月15日,十一層,十層 陽台,全筆移轉
RPUPMLKMLHLGFDJ98DA,,63.52,本共有部分之項目有停車空間、集合住宅、集合住宅（附屬管委會空間）、樓梯間、機房、消防水箱、水箱、電梯機房等８項,鋼筋混凝土造,114年12月15日,十一層,,持分移轉
RPOOMLQLLHLGFDJ78DA,,70.27,本共有部分之項目有停車空間、集合住宅、集合住宅（附屬管委會空間）、樓梯間、機房、消防水箱、水箱、電梯機房等８項,鋼筋混凝土造,114年12月15日,十一層,,持分移轉
RPVOMLRLLHLGFDJ96DA,,52.26,集合住宅,鋼筋混凝土造,114年12月15日,十一層,十層 陽台,全筆移轉
RPVOMLRLLHLGFDJ96DA,,58.96,本共有部分之項目有停車空間、集合住宅、集合住宅（附屬管委會空間）、樓梯間、機房、消防水箱、水箱、電梯機房等８項,鋼筋混凝土造,114年12月15日,十一層,,持分移轉
RPRNMLOLKIKGFBJ48DA,,79.45,集合住宅,鋼筋混凝土造,114年12月10日,十五層,四層 陽台,全筆移轉
RPRNMLOLKIKGFBJ48DA,,95.29,本共有部分之項目有防空避難室兼停車空間、停車空間、車道、管委會、樓梯間、水箱、機械室等七項。,鋼筋混凝土造,114年12月10日,十五層,,持分移轉
RPPOMLQLJHLGFCJ58DA,,220.39,集合住宅、停車空間,鋼筋混凝土造,114年11月17日,五層,一層 二層 三層 四層 五層 陽台,全筆移轉
RPPTMLRLJHLGFDJ66DA,,77.89,集合住宅,鋼筋混凝土造,114年12月23日,九層,六層 陽台,全筆移轉
RPPTMLRLJHLGFDJ66DA,,72.78,本共有部分之項目有停車空間、集合住宅、梯間等３項,鋼筋混凝土造,114年12月23日,九層,,持分移轉
RPRNMLSJMHLGFBJ88DA,,88.79,集合住宅,鋼筋混凝土造,114年12月29日,七層,七層 陽台,全筆移轉
RPRNMLSJMHLGFBJ88DA,,70.65,本共有部分之項目有停車空間、梯間、機械室、水箱、管委會使用空間等五項。,鋼筋混凝土造,114年12月29日,七層,,持分移轉
RPQONLRLJHLGFDJ98DA,,61.52,集合住宅,鋼筋混凝土造,114年12月23日,九層,七層 陽台,全筆移轉
RPQONLRLJHLGFDJ98DA,,64.18,本共有部分之項目有停車空間、集合住宅、梯間等３項,鋼筋混凝土造,114年12月23日,九層,,持分移轉
RPRPMLSJMHLGFBJ09DA,,65.29,集合住宅,鋼筋混凝土造,114年12月29日,七層,六層 陽台,全筆移轉
RPRPMLSJMHLGFBJ09DA,,58.87,本共有部分之項目有停車空間、梯間、機械室、水箱、管委會使用空間等五項。,鋼筋混凝土造,114年12月29日,七層,,持分移轉
RPTPMLKMLHLGFDJ88DA,,60.96,集合住宅,鋼筋混凝土造,114年12月15日,十一層,五層 陽台,全筆移轉
RPTPMLKMLHLGFDJ88DA,,63.52,本共有部分之項目有停車空間、集合住宅、集合住宅（附屬管委會空間）、樓梯間、機房、消防水箱、水箱、電梯機房等８項,鋼筋混凝土造,114年12月15日,十一層,,持分移轉
RPROMLQLLHLGFDJ09DA,,52.26,集合住宅,鋼筋混凝土造,114年12月15日,十一層,五層 陽台,全筆移轉
RPSNMLRLLHLGFDJ56DA,,80.40,集合住宅,鋼筋混凝土造,114年12月15日,十一層,九層 陽台,全筆移轉
RPQNMLRLLHLGFDJ98DA,,52.26,集合住宅,鋼筋混凝土造,114年12月15日,十一層,二層 陽台,全筆移轉
RPROMLQLLHLGFDJ09DA,,58.96,本共有部分之項目有停車空間、集合住宅、集合住宅（附屬管委會空間）、樓梯間、機房、消防水箱、水箱、電梯機房等８項,鋼筋混凝土造,114年12月15日,十一層,,持分移轉
RPSNMLRLLHLGFDJ56DA,,73.97,本共有部分之項目有停車空間、集合住宅、集合住宅（附屬管委會空間）、樓梯間、機房、消防水箱、水箱、電梯機房等８項,鋼筋混凝土造,114年12月15日,十一層,,持分移轉
RPQNMLRLLHLGFDJ98DA,,58.96,本共有部分之項目有停車空間、集合住宅、集合住宅（附屬管委會空間）、樓梯間、機房、消防水箱、水箱、電梯機房等８項,鋼筋混凝土造,114年12月15日,十一層,,持分移轉
RPRSNLRLJHLGFDJ86DA,,61.13,集合住宅,鋼筋混凝土造,114年12月23日,九層,三層 陽台,全筆移轉
RPRSNLRLJHLGFDJ86DA,,63.95,本共有部分之項目有停車空間、集合住宅、梯間等３項,鋼筋混凝土造,114年12月23日,九層,,持分移轉
RPTNMLLKLHLGFBJ38DA,,62.00,集合住宅,鋼筋混凝土造,114年12月10日,十五層,十二層 陽台,全筆移轉
RPTNMLLKLHLGFBJ38DA,,59.57,本共有部分之項目有防空避難室兼停車空間、停車空間、車道、管委會、樓梯間、水箱、機械室等七項。,鋼筋混凝土造,114年12月10日,十五層,,持分移轉
RPSSNLRLJHLGFDJ96DA,,61.13,集合住宅,鋼筋混凝土造,114年12月23日,九層,四層 陽台,全筆移轉
RPSSNLRLJHLGFDJ96DA,,63.95,本共有部分之項目有停車空間、集合住宅、梯間等３項,鋼筋混凝土造,114年12月23日,九層,,持分移轉
RPXPMLKMLHLGFDJ66DA,,57.44,集合住宅,鋼筋混凝土造,114年12月15日,十一層,五層 陽台,全筆移轉
RPXPMLKMLHLGFDJ66DA,,61.78,本共有部分之項目有停車空間、集合住宅、集合住宅（附屬管委會空間）、樓梯間、機房、消防水箱、水箱、電梯機房等８項,鋼筋混凝土造,114年12月15日,十一層,,持分移轉
RPPRMLKMLHLGFDJ68DA,,52.26,集合住宅,鋼筋混凝土造,114年12月15日,十一層,三層 陽台,全筆移轉
RPPRMLKMLHLGFDJ68DA,,58.96,本共有部分之項目有停車空間、集合住宅、集合住宅（附屬管委會空間）、樓梯間、機房、消防水箱、水箱、電梯機房等８項,鋼筋混凝土造,114年12月15日,十一層,,持分移轉
RPTPNLRLJHLGFDJ76DA,,62.86,集合住宅,鋼筋混凝土造,114年12月23日,九層,四層 陽台,全筆移轉
RPTPNLRLJHLGFDJ76DA,,64.88,本共有部分之項目有停車空間、集合住宅、梯間等３項,鋼筋混凝土造,114年12月23日,九層,,持分移轉
RPROMLRLLHLGFDJ56DA,,52.26,集合住宅,鋼筋混凝土造,114年12月15日,十一層,三層 陽台,全筆移轉
RPTNMLRLLHLGFDJ66DA,,80.40,集合住宅,鋼筋混凝土造,114年12月15日,十一層,十層 陽台,全筆移轉
RPROMLRLLHLGFDJ56DA,,58.96,本共有部分之項目有停車空間、集合住宅、集合住宅（附屬管委會空間）、樓梯間、機房、消防水箱、水箱、電梯機房等８項,鋼筋混凝土造,114年12月15日,十一層,,持分移轉
RPTNMLRLLHLGFDJ66DA,,73.97,本共有部分之項目有停車空間、集合住宅、集合住宅（附屬管委會空間）、樓梯間、機房、消防水箱、水箱、電梯機房等８項,鋼筋混凝土造,114年12月15日,十一層,,持分移轉
RPQRMLKMLHLGFDJ78DA,,52.26,集合住宅,鋼筋混凝土造,114年12月15日,十一層,五層 陽台,全筆移轉
RPSNMLTLJHLGFCJ09DA,,280.58,集合住宅,鋼筋混凝土造,114年11月17日,五層,一層 二層 三層 四層 五層 陽台,全筆移轉
RPQRMLKMLHLGFDJ78DA,,58.96,本共有部分之項目有停車空間、集合住宅、集合住宅（附屬管委會空間）、樓梯間、機房、消防水箱、水箱、電梯機房等８項,鋼筋混凝土造,114年12月15日,十一層,,持分移轉
RPSNMLLKLHLGFBJ28DA,,62.00,集合住宅,鋼筋混凝土造,114年12月10日,十五層,四層 陽台,全筆移轉
RPWSMLKMLHLGFDJ86DA,,73.74,集合住宅,鋼筋混凝土造,114年12月15日,十一層,五層 陽台,全筆移轉
RPSNMLLKLHLGFBJ28DA,,59.57,本共有部分之項目有防空避難室兼停車空間、停車空間、車道、管委會、樓梯間、水箱、機械室等七項。,鋼筋混凝土造,114年12月10日,十五層,,持分移轉
RPWSMLKMLHLGFDJ86DA,,70.27,本共有部分之項目有停車空間、集合住宅、集合住宅（附屬管委會空間）、樓梯間、機房、消防水箱、水箱、電梯機房等８項,鋼筋混凝土造,114年12月15日,十一層,,持分移轉
RPURMLKMLHLGFDJ56DA,,52.26,集合住宅,鋼筋混凝土造,114年12月15日,十一層,二層 陽台,全筆移轉
RPURMLKMLHLGFDJ56DA,,58.96,本共有部分之項目有停車空間、集合住宅、集合住宅（附屬管委會空間）、樓梯間、機房、消防水箱、水箱、電梯機房等８項,鋼筋混凝土造,114年12月15日,十一層,,持分移轉
RPXRMLKMLHLGFDJ86DA,,80.40,集合住宅,鋼筋混凝土造,114年12月15日,十一層,八層 陽台,全筆移轉
RPXRMLKMLHLGFDJ86DA,,73.97,本共有部分之項目有停車空間、集合住宅、集合住宅（附屬管委會空間）、樓梯間、機房、消防水箱、水箱、電梯機房等８項,鋼筋混凝土造,114年12月15日,十一層,,持分移轉
RPWNNLRLJHLGFDJ86DA,,61.52,集合住宅,鋼筋混凝土造,114年12月23日,九層,二層 陽台,全筆移轉
RPWNNLRLJHLGFDJ86DA,,64.18,本共有部分之項目有停車空間、集合住宅、梯間等３項,鋼筋混凝土造,114年12月23日,九層,,持分移轉
RPXPMLQLLHLGFDJ17DA,,60.24,集合住宅,鋼筋混凝土造,114年12月23日,九層,二層 陽台,全筆移轉
RPXPMLQLLHLGFDJ17DA,,95.26,本共有部分之項目有停車空間、集合住宅、梯間等３項,鋼筋混凝土造,114年12月23日,九層,,持分移轉
RPPOMLTJMHLGFBJ88DA,,107.69,集合住宅,鋼筋混凝土造,114年12月29日,十二層,六層 陽台,全筆移轉
RPPOMLTJMHLGFBJ88DA,,90.47,本共有部分之項目有停車空間、水箱、污水中水機房、消防機房、機電空間、防空避難室兼停車空間、台電配電室、電信室、發電機室、管委會空間、車道、梯間、消防水箱、昇降機房等十四項。,鋼筋混凝土造,114年12月29日,十二層,,持分移轉
RPWQMLRLJHLGFCJ96DA,,280.58,集合住宅,鋼筋混凝土造,114年11月17日,五層,一層 二層 三層 四層 五層 陽台,全筆移轉
RPOQMLQLLHLGFDJ98DA,,73.16,集合住宅,鋼筋混凝土造,114年12月23日,九層,二層 陽台,全筆移轉
RPOQMLQLLHLGFDJ98DA,,102.06,本共有部分之項目有停車空間、集合住宅、梯間等３項,鋼筋混凝土造,114年12月23日,九層,,持分移轉
RPPNMLKLMHLGFDJ28DA,,57.26,店舖,鋼筋混凝土造,114年10月17日,九層,一層 陽台,全筆移轉
RPPNMLKLMHLGFDJ28DA,,43.70,本共有部分之項目有停車空間、蓄水池、消防泵浦室、雨水、污水機房、梯間、發電機房、台電配電場所、電信室、儲藏室、管委會使用空間、車道、垃圾儲藏室、機械室、水箱等１５項,鋼筋混凝土造,114年10月17日,九層,,持分移轉
RPOOMLPJLHLGFBJ28DA,,236.28,集合住宅、樓梯間,鋼筋混凝土造,114年3月27日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPQQMLRLJHLGFDJ09DA,,60.24,集合住宅,鋼筋混凝土造,114年12月23日,九層,九層 陽台,全筆移轉
RPQQMLRLJHLGFDJ09DA,,63.50,本共有部分之項目有停車空間、集合住宅、梯間等３項,鋼筋混凝土造,114年12月23日,九層,,持分移轉
RPUNMLQLJHLGFCJ98DA,,260.84,集合住宅、停車空間,鋼筋混凝土造,114年11月17日,五層,一層 二層 三層 四層 五層 陽台,全筆移轉
RPROMLTJMHLGFBJ09DA,,107.69,集合住宅,鋼筋混凝土造,114年12月29日,十二層,八層 陽台,全筆移轉
RPROMLTJMHLGFBJ09DA,,87.48,本共有部分之項目有停車空間、水箱、污水中水機房、消防機房、機電空間、防空避難室兼停車空間、台電配電室、電信室、發電機室、管委會空間、車道、梯間、消防水箱、昇降機房等十四項。,鋼筋混凝土造,114年12月29日,十二層,,持分移轉
RPUPMLRLJHLGFDJ76DA,,60.24,集合住宅,鋼筋混凝土造,114年12月23日,九層,三層 陽台,全筆移轉
RPUPMLRLJHLGFDJ76DA,,63.50,本共有部分之項目有停車空間、集合住宅、梯間等３項,鋼筋混凝土造,114年12月23日,九層,,持分移轉
RPVOMLTJMHLGFBJ86DA,,107.69,集合住宅,鋼筋混凝土造,114年12月29日,十二層,十一層 陽台,全筆移轉
RPVOMLTJMHLGFBJ86DA,,87.48,本共有部分之項目有停車空間、水箱、污水中水機房、消防機房、機電空間、防空避難室兼停車空間、台電配電室、電信室、發電機室、管委會空間、車道、梯間、消防水箱、昇降機房等十四項。,鋼筋混凝土造,114年12月29日,十二層,,持分移轉
RPQNNLRLJHLGFDJ88DA,,60.24,集合住宅,鋼筋混凝土造,114年12月23日,九層,三層 陽台,全筆移轉
RPQNNLRLJHLGFDJ88DA,,63.49,本共有部分之項目有停車空間、集合住宅、梯間等３項,鋼筋混凝土造,114年12月23日,九層,,持分移轉
RPPNMLTLMHLGFDJ56DA,,78.40,集合住宅,鋼筋混凝土造,114年10月17日,九層,七層 陽台,全筆移轉
RPPNMLTLMHLGFDJ56DA,,69.10,本共有部分之項目有停車空間、蓄水池、消防泵浦室、雨水、污水機房、梯間、發電機房、台電配電場所、電信室、儲藏室、管委會使用空間、車道、垃圾儲藏室、機械室、水箱等１５項,鋼筋混凝土造,114年10月17日,九層,,持分移轉
RPURNLRLJHLGFDJ07DA,,74.97,集合住宅,鋼筋混凝土造,114年12月23日,九層,三層 陽台,全筆移轉
RPURNLRLJHLGFDJ07DA,,71.25,本共有部分之項目有停車空間、集合住宅、梯間等３項,鋼筋混凝土造,114年12月23日,九層,,持分移轉
RPSNMLQKLHLGFCJ88DA,,62.62,集合住宅,鋼筋混凝土造,114年11月26日,七層,二層 陽台,全筆移轉
RPSNMLQKLHLGFCJ88DA,,48.91,本共有部分之項目有：停車空間、公共服務空間等２項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPSNMLQKLHLGFCJ88DA,,14.35,本共有部分之項目有：樓梯間、水箱、機械室等３項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPTNMLPJLHLGFDJ88DA,,60.70,集合住宅,鋼筋混凝土造,114年12月23日,九層,四層 陽台,全筆移轉
RPTNMLPJLHLGFDJ88DA,,63.72,本共有部分之項目有停車空間、集合住宅、梯間等３項,鋼筋混凝土造,114年12月23日,九層,,持分移轉
RPUNMLKMLHLGFCJ68DA,,62.67,集合住宅,鋼筋混凝土造,114年11月26日,七層,四層 陽台,全筆移轉
RPXOMLTJMHLGFBJ07DA,,107.85,集合住宅,鋼筋混凝土造,114年12月29日,十二層,三層 陽台,全筆移轉
RPUNMLKMLHLGFCJ68DA,,48.91,本共有部分之項目有：停車空間、公共服務空間等２項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPXOMLTJMHLGFBJ07DA,,87.48,本共有部分之項目有停車空間、水箱、污水中水機房、消防機房、機電空間、防空避難室兼停車空間、台電配電室、電信室、發電機室、管委會空間、車道、梯間、消防水箱、昇降機房等十四項。,鋼筋混凝土造,114年12月29日,十二層,,持分移轉
RPUNMLKMLHLGFCJ68DA,,12.29,本共有部分之項目有：樓梯間、水箱、機械室等３項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPVQMLQJKHLGFBJ56DA,,79.45,集合住宅,鋼筋混凝土造,114年12月10日,十五層,三層 陽台,全筆移轉
RPVQMLQJKHLGFBJ56DA,,68.89,本共有部分之項目有防空避難室兼停車空間、停車空間、車道、管委會、樓梯間、水箱、機械室等七項。,鋼筋混凝土造,114年12月10日,十五層,,持分移轉
RPVNMLRLLHLGFCJ76DA,,78.24,集合住宅,鋼筋混凝土造,114年11月26日,七層,四層 陽台,全筆移轉
RPROMLQJJHLGFBJ48DA,,79.45,集合住宅,鋼筋混凝土造,114年12月10日,十五層,七層 陽台,全筆移轉
RPVNMLRLLHLGFCJ76DA,,52.54,本共有部分之項目有：停車空間、公共服務空間等２項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPROMLQJJHLGFBJ48DA,,88.23,本共有部分之項目有防空避難室兼停車空間、停車空間、車道、管委會、樓梯間、水箱、機械室等七項。,鋼筋混凝土造,114年12月10日,十五層,,持分移轉
RPVNMLRLLHLGFCJ76DA,,15.27,本共有部分之項目有：樓梯間、水箱、機械室等３項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPVNMLPKMHLGFCJ56DA,,62.13,集合住宅,鋼筋混凝土造,114年11月26日,七層,二層 陽台,全筆移轉
RPVNMLPKMHLGFCJ56DA,,47.71,本共有部分之項目有：停車空間、公共服務空間等２項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPVNMLPKMHLGFCJ56DA,,12.19,本共有部分之項目有：樓梯間、水箱、機械室等３項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPTNMLOKMHLGFBJ78DA,,62.00,集合住宅,鋼筋混凝土造,114年12月10日,十五層,三層 陽台,全筆移轉
RPTNMLOKMHLGFBJ78DA,,59.57,本共有部分之項目有防空避難室兼停車空間、停車空間、車道、管委會、樓梯間、水箱、機械室等七項。,鋼筋混凝土造,114年12月10日,十五層,,持分移轉
RPPOMLKKLHLGFCJ08DA,,76.38,集合住宅,鋼筋混凝土造,114年11月26日,七層,五層 陽台,全筆移轉
RPPOMLKKLHLGFCJ08DA,,86.05,本共有部分之項目有：停車空間、公共服務空間等２項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPPOMLKKLHLGFCJ08DA,,14.98,本共有部分之項目有：樓梯間、水箱、機械室等３項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPTOMLMKLHLGFCJ68DA,,77.46,集合住宅,鋼筋混凝土造,114年11月26日,七層,五層 陽台,全筆移轉
RPTOMLMKLHLGFCJ68DA,,51.38,本共有部分之項目有：停車空間、公共服務空間等２項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPTOMLMKLHLGFCJ68DA,,17.77,本共有部分之項目有：樓梯間、水箱、機械室等３項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPWOMLLKLHLGFCJ88DA,,62.67,集合住宅,鋼筋混凝土造,114年11月26日,七層,七層 陽台,全筆移轉
RPWOMLLKLHLGFCJ88DA,,48.91,本共有部分之項目有：停車空間、公共服務空間等２項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPWOMLLKLHLGFCJ88DA,,12.29,本共有部分之項目有：樓梯間、水箱、機械室等３項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPWNMLKKLHLGFCJ68DA,,76.38,集合住宅,鋼筋混凝土造,114年11月26日,七層,二層 陽台,全筆移轉
RPWNMLKKLHLGFCJ68DA,,52.21,本共有部分之項目有：停車空間、公共服務空間等２項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPWNMLKKLHLGFCJ68DA,,14.98,本共有部分之項目有：樓梯間、水箱、機械室等３項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPOOMLMKLHLGFCJ18DA,,73.96,集合住宅,鋼筋混凝土造,114年11月26日,七層,五層 陽台,全筆移轉
RPOOMLMKLHLGFCJ18DA,,51.63,本共有部分之項目有：停車空間、公共服務空間等２項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPOOMLMKLHLGFCJ18DA,,16.96,本共有部分之項目有：樓梯間、水箱、機械室等３項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPQNMLQJKHLGFBJ38DA,,51.90,集合住宅,鋼筋混凝土造,114年12月10日,十五層,三層 陽台,全筆移轉
RPQNMLQJKHLGFBJ38DA,,54.27,本共有部分之項目有防空避難室兼停車空間、停車空間、車道、管委會、樓梯間、水箱、機械室等七項。,鋼筋混凝土造,114年12月10日,十五層,,持分移轉
RPVNMLMKLHLGFCJ78DA,,73.96,集合住宅,鋼筋混凝土造,114年11月26日,七層,二層 陽台,全筆移轉
RPVNMLMKLHLGFCJ78DA,,51.63,本共有部分之項目有：停車空間、公共服務空間等２項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPVNMLMKLHLGFCJ78DA,,16.96,本共有部分之項目有：樓梯間、水箱、機械室等３項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPSPMLQJKHLGFBJ78DA,,51.90,集合住宅,鋼筋混凝土造,114年12月10日,十五層,五層 陽台,全筆移轉
RPSPMLQJKHLGFBJ78DA,,54.27,本共有部分之項目有防空避難室兼停車空間、停車空間、車道、管委會、樓梯間、水箱、機械室等七項。,鋼筋混凝土造,114年12月10日,十五層,,持分移轉
RPRQMLQJKHLGFBJ78DA,,51.90,集合住宅,鋼筋混凝土造,114年12月10日,十五層,十三層 陽台,全筆移轉
RPRQMLQJKHLGFBJ78DA,,54.27,本共有部分之項目有防空避難室兼停車空間、停車空間、車道、管委會、樓梯間、水箱、機械室等七項。,鋼筋混凝土造,114年12月10日,十五層,,持分移轉
RPQPMLQJKHLGFBJ58DA,,51.90,集合住宅,鋼筋混凝土造,114年12月10日,十五層,三層 陽台,全筆移轉
RPQPMLQJKHLGFBJ58DA,,54.27,本共有部分之項目有防空避難室兼停車空間、停車空間、車道、管委會、樓梯間、水箱、機械室等七項。,鋼筋混凝土造,114年12月10日,十五層,,持分移轉
RPXNMLLJMHLGFCJ88DA,,62.17,集合住宅,鋼筋混凝土造,114年11月26日,七層,二層 陽台,全筆移轉
RPXNMLLJMHLGFCJ88DA,,47.71,本共有部分之項目有：停車空間、公共服務空間等２項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPXNMLLJMHLGFCJ88DA,,14.25,本共有部分之項目有：樓梯間、水箱、機械室等３項,鋼筋混凝土造,114年11月26日,七層,,持分移轉
RPQQMLLLJIKGFBJ28DA,,196.40,集合住宅、停車空間,鋼筋混凝土造,114年7月18日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPWNMLSJKIKGFBJ56DA,,62.00,集合住宅,鋼筋混凝土造,114年12月10日,十五層,十五層 陽台,全筆移轉
RPWNMLSJKIKGFBJ56DA,,62.02,本共有部分之項目有防空避難室兼停車空間、停車空間、車道、管委會、樓梯間、水箱、機械室等七項。,鋼筋混凝土造,114年12月10日,十五層,,持分移轉
RPRRMLQJKHLGFBJ88DA,,79.45,集合住宅,鋼筋混凝土造,114年12月10日,十五層,七層 陽台,全筆移轉
RPRRMLQJKHLGFBJ88DA,,93.23,本共有部分之項目有防空避難室兼停車空間、停車空間、車道、管委會、樓梯間、水箱、機械室等七項。,鋼筋混凝土造,114年12月10日,十五層,,持分移轉
RPRNMLPKJHLGFBJ38DA,,140.83,集合住宅,鋼筋混凝土造,114年10月8日,十九層,十七層 陽台 雨遮,全筆移轉
RPRNMLPKJHLGFBJ38DA,,128.60,本共有部分之項目有：防空避難室兼停車空間、停車空間、管理室、公共服務空間、儲藏室、電梯間、樓梯間、機房、消防中繼水箱、機械室、水箱等十一項。,鋼筋混凝土造,114年10月8日,十九層,,持分移轉
RPXNMLQJKHLGFBJ09DA,,51.90,集合住宅,鋼筋混凝土造,114年12月10日,十五層,七層 陽台,全筆移轉
RPXNMLQJKHLGFBJ09DA,,54.27,本共有部分之項目有防空避難室兼停車空間、停車空間、車道、管委會、樓梯間、水箱、機械室等七項。,鋼筋混凝土造,114年12月10日,十五層,,持分移轉
